index,0,1,2,3,4
0,0.003618599,0.58328277,0.3689895,0.04347912,0.000630061
1,0.01745146,0.97833645,0.000128519,0.001352639,0.002730996
2,0.99890864,0.00037363,5.39E-05,7.56E-05,0.000588314
3,4.44E-05,0.033502944,0.9655547,0.000197768,0.000700115
4,0.98384124,0.002480586,0.002143171,0.007001322,0.004533746
5,0.000413781,0.001500146,0.002172408,0.994277,0.001636621
6,0.05512465,0.021463765,0.18006964,0.7360484,0.007293554
7,0.9856924,0.002579993,0.000582271,0.003915383,0.007229938
8,0.997987,0.000441831,0.001138367,7.57E-05,0.000356964
9,0.5832652,0.100585595,0.00382207,0.25147933,0.06084786
10,4.84E-06,6.32E-05,1.32E-05,0.99991053,8.23E-06
11,0.026858661,0.000375462,0.000432571,0.000719228,0.97161406
12,0.000180502,0.99932253,0.00017945,0.000238474,7.91E-05
13,0.004906415,0.18775196,0.78159344,0.001477943,0.024270197
14,6.34E-05,0.002577338,0.99619275,7.49E-05,0.001091699
15,0.77944875,0.002260378,0.004759516,0.20210545,0.011425925
16,0.07077988,0.0384411,0.8548051,0.027328799,0.008645179
17,0.000287081,0.001843323,0.99602187,0.000101519,0.001746241
18,0.003262458,0.005554254,0.07233801,0.91854554,0.000299717
19,0.001126385,0.27334422,0.08049576,0.007306809,0.6377268
20,8.70E-05,0.003999558,0.9954688,0.000161659,0.000283036
21,7.77E-05,0.99958676,0.000216915,3.82E-05,8.05E-05
22,0.79107,0.000628605,0.014990372,0.000323598,0.19298744
23,0.1090675,0.001532215,0.000442537,0.016311776,0.872646
24,7.07E-05,0.002190675,0.04999149,0.94757235,0.000174756
25,4.36E-05,0.000106585,0.00012501,0.9995395,0.000185349
26,2.01E-05,5.48E-05,0.000134411,0.9996198,0.000170898
27,0.000105217,0.010250501,0.9880477,0.000223631,0.001372966
28,0.9999626,1.07E-05,3.88E-06,3.42E-06,1.94E-05
29,0.8774389,0.041096866,0.078630134,0.001675683,0.001158352
30,3.29E-06,5.01E-05,5.10E-06,0.9999323,9.18E-06
31,0.003243008,0.06555607,0.84430677,0.06897561,0.017918473
32,2.99E-05,0.001010393,0.000122484,0.9987353,0.000101791
33,0.95093805,0.001278714,0.001861802,0.036825236,0.009096148
34,0.019433545,0.03690203,0.23130763,0.7108818,0.00147496
35,0.000431417,0.9986699,0.000337233,0.000339523,0.000221878
36,1.19E-06,3.51E-05,2.87E-05,0.99991864,1.63E-05
37,0.001685737,0.001059933,0.003019494,0.000220676,0.99401414
38,0.0004923,2.85E-05,0.000110832,3.94E-05,0.999329
39,0.004970125,0.0001411,0.000974892,0.000156192,0.9937576
40,0.016574156,0.82617724,0.10484022,0.035457183,0.016951276
41,0.017285496,0.9577235,0.000800287,0.013970201,0.01022049
42,9.07E-05,0.002252382,0.9973896,0.000124805,0.000142544
43,0.6142126,0.001985842,0.000233845,0.000317808,0.38324994
44,0.031730227,0.8892024,0.000843295,0.06620495,0.012019062
45,0.000748673,0.012949827,0.9851572,0.00034981,0.000794476
46,0.8627474,0.02463433,0.09291114,0.010023451,0.009683731
47,1.34E-05,2.90E-05,8.71E-05,0.9998188,5.17E-05
48,0.000376701,0.99851453,0.000804541,0.000105976,0.00019814
49,3.85E-06,4.21E-05,7.33E-06,0.9999248,2.19E-05
50,0.001084472,9.78E-05,0.006404968,0.0001832,0.9922296
51,0.001127842,0.00140357,0.006261798,0.001858314,0.9893484
52,0.0924595,8.82E-05,0.001757526,0.000533085,0.9051617
53,0.001805211,0.000437903,0.001541376,0.004686224,0.9915293
54,7.90E-05,0.000429644,0.000862227,0.000602749,0.9980264
55,0.000618466,0.99917495,8.18E-05,7.96E-05,4.52E-05
56,1.98E-05,2.33E-05,5.19E-06,0.9999236,2.81E-05
57,0.008702972,0.000111507,0.003290713,0.000633602,0.9872612
58,0.018159602,0.000510766,0.000799548,0.012508901,0.9680212
59,0.00051198,0.008950473,0.9892322,0.001101828,0.000203573
60,0.000290281,0.99898946,0.000557236,6.46E-05,9.84E-05
61,0.005193958,0.45487347,0.005774179,0.52460796,0.009550465
62,0.004881644,0.002799074,0.004939111,0.98471785,0.002662309
63,0.001244955,0.06672676,0.78659165,0.1373705,0.008066199
64,0.002637968,0.9963686,0.000246826,0.000390127,0.000356511
65,0.001016945,0.020590663,0.9731928,0.001041644,0.004158001
66,4.93E-05,2.31E-05,1.92E-05,1.57E-05,0.99989283
67,4.57E-05,0.019379478,0.97871816,0.001420811,0.000435828
68,0.6918703,0.30380327,0.001712617,0.001069458,0.001544436
69,2.80E-05,5.86E-05,3.00E-05,0.99985236,3.10E-05
70,4.10E-05,7.30E-05,4.40E-05,0.99966115,0.000180854
71,0.000230845,0.011451287,0.9759002,0.000228315,0.012189354
72,2.49E-05,0.000116318,7.57E-05,0.9997257,5.73E-05
73,0.000779985,0.03844399,0.94003046,0.019680101,0.001065465
74,0.000867884,0.998508,0.000196244,0.000240501,0.000187378
75,2.02E-05,0.000311596,4.69E-05,0.9995424,7.89E-05
76,3.64E-05,8.79E-06,4.34E-06,0.000254442,0.99969596
77,0.99766207,0.000547402,0.000200396,0.000411721,0.001178403
78,0.18613699,0.001321648,0.005673405,0.000403095,0.8064648
79,0.045540266,0.8091445,0.06986805,0.007654625,0.067792594
80,0.000755165,0.99771386,0.000774156,0.000152923,0.000603893
81,0.005230946,0.001373918,0.0585253,0.002934146,0.9319356
82,0.65079826,0.06901941,0.18889984,0.039415523,0.051866937
83,0.00069399,0.018577645,0.001814336,0.97835827,0.000555782
84,6.50E-05,0.03635194,0.9626808,0.000584874,0.000317326
85,0.06987958,0.9225629,0.000156515,0.005687073,0.00171396
86,0.014086522,0.027132576,0.01619324,0.9415026,0.001085042
87,2.64E-05,0.00796629,0.98825663,0.001675241,0.002075403
88,0.3030234,0.012791137,0.67036086,0.010210263,0.003614383
89,4.68E-05,0.000277199,0.000867783,0.99857295,0.000235387
90,0.007749006,0.012915176,0.044728894,0.93440056,0.000206392
91,0.004836004,0.9392518,0.010818309,0.002820029,0.04227389
92,0.008680506,0.000609026,0.001092096,0.9863431,0.00327536
93,0.000138353,0.000310799,0.00051395,0.9988352,0.000201776
94,0.000442374,0.001068059,0.013634069,0.98448026,0.000375205
95,0.99878615,0.000110281,0.000163677,0.000616471,0.000323433
96,1.22E-05,0.000100926,1.57E-05,0.99980557,6.56E-05
97,0.7238656,0.06511856,0.07569365,0.12981234,0.005509784
98,0.001560327,4.80E-05,0.000301205,0.000264246,0.9978262
99,5.20E-06,1.44E-05,1.72E-05,0.9999423,2.09E-05
100,0.000939916,0.033476833,0.91149825,0.05265676,0.001428249
101,0.99872845,0.000222742,9.91E-05,1.02E-05,0.000939553
102,1.72E-05,3.15E-05,9.87E-06,0.99989843,4.30E-05
103,0.000595535,0.04459672,0.94316053,0.003585101,0.008062195
104,0.98526746,0.000535817,0.009942742,0.000600404,0.003653564
105,0.000222388,0.99853885,0.000488565,0.000594485,0.000155758
106,0.018212538,0.5902488,0.380126,0.010078812,0.00133385
107,0.000196363,0.03019078,0.965227,0.002110776,0.002275047
108,0.000752489,0.9990107,7.66E-05,4.63E-05,0.000113969
109,0.000481333,0.11439618,0.86242646,0.021165516,0.001530478
110,0.99515307,0.000210072,0.000157623,0.000961906,0.003517383
111,4.98E-05,9.67E-05,4.25E-05,0.99942076,0.000390212
112,1.04E-05,6.88E-05,0.000104341,0.9997153,0.00010112
113,0.004174424,0.015795222,0.9782297,0.000764595,0.001035987
114,0.002652687,0.000142539,5.14E-05,0.9961936,0.00095971
115,0.045838445,0.27435705,0.3631213,0.19175702,0.12492619
116,0.028362218,0.019893277,0.358831,0.002076349,0.5908371
117,0.9989892,0.000159001,0.000132811,4.45E-05,0.000674588
118,2.27E-06,3.11E-05,3.26E-05,0.999897,3.71E-05
119,0.001735796,0.995648,0.002194984,0.000261162,0.00016009
120,0.002914702,0.000712894,0.000263844,0.004412114,0.9916965
121,4.34E-06,4.98E-05,2.41E-05,0.9998704,5.14E-05
122,0.9957592,0.000336783,0.002985962,8.11E-05,0.000836907
123,0.028634328,0.005397439,0.004988429,0.000185565,0.96079415
124,0.001742438,0.99631566,0.001670436,0.000133587,0.000137943
125,0.000479714,0.004025612,0.9950967,0.000204331,0.000193681
126,9.70E-05,0.9996187,8.32E-05,0.000132426,6.85E-05
127,0.95747787,8.78E-05,0.000110165,0.00015074,0.0421734
128,0.00072062,0.000105628,0.000151151,0.000131198,0.9988915
129,0.000412813,0.000133181,0.000645021,0.000144799,0.9986641
130,0.000488064,0.0380762,0.9155362,0.041369446,0.004530095
131,0.000102617,0.00085249,0.003863887,0.9936999,0.001481068
132,0.002504719,0.011669192,0.003149559,0.9820734,0.000603151
133,0.9996214,0.000127286,4.53E-05,2.16E-05,0.000184389
134,0.94144565,0.004137634,0.00766904,0.030287677,0.01646005
135,0.000167073,0.020081658,0.9763912,0.000806824,0.002553163
136,0.33277494,0.02426534,0.15693226,0.017497202,0.46853033
137,5.17E-06,1.20E-05,7.94E-06,0.99995023,2.47E-05
138,0.95336306,0.004529962,0.002197931,0.003049386,0.036859713
139,0.001776496,0.000624832,0.000437722,0.99712455,3.63E-05
140,0.000182704,0.000206399,0.000241123,2.75E-05,0.99934226
141,0.02037657,0.05061241,0.009147275,0.015053978,0.9048098
142,0.000153086,0.006036905,0.9915231,0.000402326,0.001884591
